id|name|review_count|useful|funny|cool
xl7hG9qBp0UVYX6wfMwvdg|Caitlin J.|2|15|1|3
RROJRr8c3hlVxnF_FjF_KQ|Jim G.|1|1|4|1
CMxT7p7ujg7lvEvxMVXxCg|Nicole P.|1|1|0|0
Vw8rTx1fDlxxCAIFH6kZDQ|Jeannine D.|2|11|0|9
-79JpP-2xtztpWQv5mNYXQ|Vanessa C.|6|574|357|445
Luj3s_MdUI-Og-j2-eQB-Q|Sara B.|5|46|10|18
wyphQvpzayFVU_Hif4b8RQ|Patti F.|2|169|71|58
hFLmsZUE3PBZOFmoFG7_zA|K S.|1|1|0|0
9hEtOgLRTsx7eLPVw_jlDA|Bob L.|1|11|2|5
fEE8FCSllkn7y9MVYXbddA|Marybeth K.|1|10|3|3
sLk9v1bNCG-215Vck1XSgA|Erin S.|1|0|0|0
deF5NdWr0DbQq8djPN15sA|Melissa M.|2|2|2|2
dIeOI3XlMO-ifsOF6DpwQA|Matt R.|2|197|55|69
L7NJQ9O0NFntUC24VK1zfg|K B.|1|11|1|3
00-wb5if_b-L_rL10_2NKA|Rachel A R.|1|3|0|3
t2x-mIhaS-pYBtRwBTf-CA|Monica G.|1|3|1|2
V24J8R-1FojmFJfmjhhthw|Lia A.|1|0|0|0
TL81zAQrnXgTxEgGUv76eQ|Maria F.|1|3|0|1
pVPcu1-W8SLXJKcu5kF6tA|paula c.|2|42|12|13
fWkV6k_7mIwQejEE-Jzujw|kate s.|1|25|8|12
gYdAvlDqvq-KmAx2IEuqzQ|Mrs. W.|1|4|2|0
4AD2zr61LCR_mBmGe33Kng|Jen C.|1|3|0|1
YScOFHwBvcdOh4iAV-lWUA|Sonia K.|2|9|2|2
GZkHMXS8iTOgFGS2iv_M4g|Tom R.|1|4|4|2
9F5wwzbcxr21KUQTGmuWtw|Ross M.|1|3|1|3
uJztQviv9yg7aFHlB5yyyw|Michael B.|4|24|12|13
Y_Au_HWPLIbQBXX6vjQjMg|Hoy L.|1|0|0|0
a34HvdlrG5GZ1wjRuzRvlQ|Oliver W.|1|2|0|2
bQgtwxcXIS1CXqIm4x-h4w|Barbara M.|2|36|13|20
C5Avkksj5Iom9saQyoEM8w|Ashley P.|11|531|184|269
yMIy1QRnzNpB9M4-2OAVLQ|Saurav S.|1|1|1|1
68LmmPmqrl8nEeaIuk-U9g|Nom D.|2|3|0|1
9PhM1xYXeKxRkG1Us_kE8A|RIRI S.|1|6|1|2
raKNs5sOXMHsdxNB_TKkQA|Barb P.|1|0|0|0
bDuVjoGOoilJEgfhM1iQfg|Mandy D.|5|86|21|32
4_o8AzCFalr09BpOaFTqvA|andrea m.|1|5|4|2
dPLaY-t4BF7KZI9SXABg5A|Meg M.|1|202|131|156
a2LxCZfTAEavF1046Y2Vqg|Kyle S.|1|49|10|12
tpEWW4usnsOAMlkh1akxcA|Maura C.|9|107|25|68
Mm7yR3DDtIKKZY9vOzFz-w|Matt S.|2|347|161|147
-HPO6hCCGtEo4K2STtCUkQ|Andrew K.|1|90|153|64
RrQQ4TfvnyfrHrQU_Ux2Ug|Richie R.|4|35|14|5
ezJj-pxd6dWJ4C3MT3JTzQ|Rebecca F.|10|241|149|177
YUjc6_wq3Nqsb7809Fr6bg|Eric T.|1|56|27|40
_Q_Ddc1EY86inf4dkTSK7g|Nadine G.|1|1|0|0
iCppbv3C7XvCyzIZnNQ7fg|all seeing E.|18|192|130|127
PaZe9gElkRplcWHX30_Skw|William D.|1|15|3|4
Q9mmDfXSGke1LKCxZo8AQg|Renee W.|1|30|17|25
TYURMcdjX8f0QcIkbEK2IQ|Catherine S.|1|16|1|2
QgokWOMG9T0h7ZSSmjCLww|Alicia C.|3|963|242|1029
4VTO476chO-o6pN8LUvK8Q|Rebecca H.|3|77|33|35
TQY03QqnBzTTALx-EI6Pmg|Candice T.|1|859|649|759
Ny1z4J8qmdxP4bwkEkJ3Jg|Greg R.|1|3|0|0
Zys2Nzn3tNGDF36BAf1sBA|catherine n.|1|23|4|3
Ci_epEhqrfiW5pbuorj7VQ|Andrea H.|1|11|1|1
x_aBr6utOrK1wBQvPfdhaw|Chary S.|1|58|21|30
GwZ2Wy9R9c89KSBc3LFeGw|Gina D.|1|3|1|2
bA15aH0ZqnE-ov-JwL2qvQ|Virginia T.|1|0|1|0
j26AcWn4iKXDkUwOqYip1w|Renee M.|2|34|48|13
k9J79ZNz0JZhG7Z3cGNblg|Harold O.|1|5|7|6
tOENP_svO3teF1AWpgW7Vg|Rajah K.|1|69|12|24
wNSrGl5Qf2l0g1Xer7dckg|Michael G.|6|61|35|22
HrJTQ8b5rEA3vF77rfAxFg|Chris M.|7|161|59|54
Y3g8Yq3g0tlqkNM-KNnNaQ|Joseph M.|1|10|5|2
YskXjIzH-ZUihX-zpDVQgA|Wendy H.|1|27|1|7
t53R6c6AoP-9JdQeCtTnBw|Carolina A.|1|2|0|1
5morYTBm5FtgCsmNcfaqkw|Stephanie A.|2|0|0|0
PlB3u3ugOg2F9WUPoPf3CQ|Kimberly W.|1|0|0|0
mDBoVkVJ7Hvc8sOp8Ww9yw|Michael A.|2|27|15|8
3fomUsXlB9yJLfi_sDhDQg|holly m.|1|427|92|220
3iehH-tIg2fbD0gjpkkcpA|Eric S.|2|59|23|10
D9OeooTaGaxkSLQuALyQKA|Lauren W.|1|14|0|4
KS69R7rZWei_Oq5BrT7LGw|Jenn S.|1|0|0|0
jamBToZqN8uNKPYkRX7yDw|Meghan A.|8|319|276|267
fBKdklLzl3o7V1EW2nBeDQ|Jeremy D.|1|3|4|1
nb8Si6M2fGxlU-xXl15aPQ|Rachael N.|3|110|46|52
4ZfHbIbmyTuCX0BXNOocrg|Lauren B.|3|324|159|235
2cOHyJYAFjjE2Es5qmhhDA|Silvia T.|1|0|0|0
fL9eamFi8LvZg8eYm5flkg|Tami M.|1|6|0|3
oZEgWMKK1dBIUow8emOCGg|John M.|2|77|38|22
w9gQB_NFEJI_JR_l-RvIGQ|Han-Hsien T.|1|14|1|2
kCXn6IIdtCepeP8vvPmcwA|Tony M.|3|14|6|7
NFC22zCioiCFYl0jA0jQrQ|Maureen H.|2|119|37|101
jn36bomYhP-IchVS2FTShQ|Elsa D.|1|4|2|2
vbA4AbYWICsfT10ng3yYlg|Kara S.|3|9|2|6
PGkMTm3hiermfR6TE498bw|Jackie T.|2|99|12|21
XKNTdLf6QEDk5mSu1oKQ4w|Courtney H.|3|69|6|27
yZyUc9ChBerAAeUY8ygSfw|Eric G.|8|990|969|526
-tnodf38uCXjogMhZtcWxw|Matt T.|2|183|57|76
UTrAD9xpAgEuoSZfXANT2w|Ramona G.|1|0|0|0
qewG3X2O4X6JKskxyyqFwQ|Misti Y.|2|10174|5941|7798
37Ywl8wZouGLjgdscVlWzw|veek n.|2|925|837|843
We-dQX577sIhD1cBetTimw|Sophonisba G.|2|22|5|11
MhulcOVGHzK0SOHG13ln8Q|John R.|1|63|25|22
j0dvyLD1jXGJNApCFir5Zg|C. J.|1|2|1|1
Kk4aOmIVvWrJ9RNKrYuYpw|Charlotte M.|1|13|2|6
lzKCLMP9_j71myqM00yCFw|Elizabeth C.|1|4|1|3
V-nPYJdHpbthyPT0gJFTrA|Jenny M.|2|44|22|26
bmNxG7gLYbhVu3u0nymI4g|barb n.|1|17|7|4
0pKUs1y_pIc4oxKSzCBj_g|Terry M.|1|56|24|6
JYfvJLrRAXPQdZj8WdGTfQ|Lou O.|1|1|1|0
GMzsCafogrxRJS_CnvUDrw|Angie C.|2|7|0|2
57afbu27Kwm2CgQN8B7tfQ|Tim L.|4|19|7|6
AutWfwOBmK6hBnNXeanJ0g|Keith C.|1|14|3|7
fxYms2solhwqJJ1KfWuleA|Elizabeth D.|1|47|9|10
6l26pEyuPkIcPEHbmM6x7A|foo b.|2|8|0|0
PM1BpyF5mwFwJ_X3_sE05g|C S.|1|63|38|61
wOM9y93dSk16r_ZHlgPQbg|Elena S.|1|15|4|5
2WzdS28bt1xXJMf4U5KNbA|Jh M.|2|110|60|37
MGPQVLsODMm9ZtYQW-g_OA|Jelena Z.|4|11100|7623|8971
1Aiv-gmtJUVoId41CqpDEQ|Jeff W.|1|139|148|112
BITIiGizlgfj0V5orNESyw|David W.|1|260|97|148
8ybcfpKLlV0gElcpuZNUcA|Mitchell M.|1|38|22|25
20BB6rPnZqog5ID6R-_pYw|Jen S.|1|154|96|67
RepbaM5Opkimc95QNy8aPw|Elena Y.|12|68|18|16
CHgbA40DxgQwr0t_s-dblw|Carina K.|2|47|13|5
W3ulRZgER9kNf41QWJCZ_g|Kittiya L.|2|36|9|10
gVIP8yFneCtxf_6cyih_UA|Christine P.|3|19|3|3
0UIuzxfJzpuXG47Cbi_sFw|Jason S.|1|33|7|9
x6EIOq0dSL3ShlugDL6LmQ|Melissa B.|1|1|0|0
eVg8ZrBprFb6iZQVsjIM3A|Laura J.|1|10|5|3
gKwbQjTY1SSyjtor4kTCeQ|Tyler M.|3|58|12|17
StSIHFXhos-7oIXKJbzNnw|Ella C.|2|27|0|7
Xf94N4CuNXfyzDeLXwS4Bg|Carter C.|2|0|0|0
LagMtvc5Hrk0E6_0ls8tfA|Emily B.|1|4|0|2
x2cV5QcO5-FAd48wNajTMw|Eli B.|1|0|0|0
23uLFQYiBHfXA_RFBuXhMg|Ryan H.|2|14|2|3
aAlKX_pPAhu3dIInG9guCQ|Andrew H.|5|18|3|2
9zJOfdACCjkIZxB_DxSUuw|felix c.|2|3|0|5
L6aatljylof5m-5dDJZPRA|Sylvia J.|1|8|0|1
s26YAbzuswA2CduUP1AJGw|Lisa D.|1|1|1|0
088SkMN7Hjn2vK2MEUfc3Q|Bill H.|16|851|201|256
kHGgX4e57JBWC3piCTLIxA|Biqi C.|1|186|94|72
ocyxolT7xHUoYaByE7PUMA|Rob G.|1|26|10|9
_s4Vnw8Opd-kPwaSXOuK3Q|Jami B.|1|25|12|9
9U30DANobkrn3Zlu6T9p6Q|Jeff F.|9|748|172|264
xlm2pjMTRIMlhgxgU04SoA|Alison S.|1|1|0|0
f_QH9sO3wK5Q6AWbkQfGOg|Liz M.|2|3|1|2
XgJxBTraA-UwdWz4P_IOiw|Angela W.|1|10|2|7
BWVd3Xu4VZVJtLrWwD6olw|Anton S.|1|10|0|9
yMfkw9r6bhqC0sUSvbPLpQ|Kim C.|2|250|108|132
m3MkqidMw_8k4QJMyX53vg|Craig E.|1|236|207|207
KJJ8j3jUmWe2KneTaIR0hA|Jim D.|1|3|6|3
eY0tdZjFM5ixELYtvqs3iQ|Katie A.|4|21|5|2
5rJudE9z71ICHYxLqLKMHQ|Steve S.|2|28|3|6
GZLCvzvRIDPCBkFtGXshPQ|Jan P.|1|0|0|0
-1rqMSXzoQ7iYTRipDNhPA|David H.|2|19|9|11
JwaA6cRbOpm2QyUNpQDsLw|tom k.|2|63|21|25
o_naR5UiF1GJMDZ7Dkh_dw|annie w.|4|129|35|47
FWlT0UXhmVIHxNfQ6A95Tw|Eric F.|6|50|19|26
QWbQEvMi8FiXhXSsfhBxDg|Brian G.|2|333|172|188
uq0ILmBm-vK3219Y7YwoFw|Jon D.|9|44|23|16
mkBgQOwDE5OrrktAkBXatQ|Shibs K.|10|132|38|43
2SCtabMTxctlLgbar3-diA|Stephanie W.|7|105|19|41
fKOQBF-XGRg757IbVTkaPQ|Chris C.|1|11|2|7
gOcUxm51CK48wCHHxsWNmg|Stan Y.|2|15|3|5
uSWEtjOZyN_lkJ8J_pXqyQ|Kristen M.|2|2|1|0
lkFGuFSJlownxnkkdEuI2Q|janet m.|1|4|3|2
3T0FvfI9LH8MYvIa9svQgA|Michael Z.|3|4|0|1
xF7ulSsJir1nZGhc07LRQg|Lisa W.|2|14|2|1
xJhQW6TB6Afcbkx8-oeqrg|Raul O.|1|13|9|3
tSKGejZuR8E7OGLckX4-8Q|Liza M.|6|226|243|163
uUh_q6rVMhKxwt0eaiphRg|Erin R.|3|253|71|90
6lgoTxzdcByUKtbhghxlzg|Casey L.|1|1|0|1
92UwOx9E1mIjaT_9pq4_sQ|Alicia D.|1|97|28|18
LCZgiPzUKzigGdj76cygQA|Roberta D.|2|13|6|2
K69q9gvYcMpYO2XKz7vZsw|Arielle N.|1|17|11|8
drUGE2WBdh5TBP-0AvHxhw|Jennifer W.|2|52|16|20
jIX1XJicVAPdsYbstzQB0g|A. M.|3|0|0|0
Q3bUbClff0KSF1m9Vu9FgQ|Roger P.|2|12|3|0
PWhvCTUhd4bFKI-df4Ff8A|JH P.|1|11|3|3
UuRc_5BL3--2fAJRC7vM0A|John S.|1|0|0|1
UYr1ggT6WLYDghC-2tpzwg|Melissa S.|2|84|32|38
41GUi1qvVeWDhHeviDF7pg|Cassie B.|4|142|64|58
fyIt4l6afXhXs-lbaW1oPw|Alejandro M.|1|1|0|0
liUToL_N9OPma4FDr7P8lw|Christine D.|1|1|1|1
_kq78gxl0VA_oFxukVYTuw|Andrea M.|12|113|25|41
ug36YKzysACki0cdfRFCBA|Ellen A.|1|8|3|3
vLTrtgiM-8TTjRWD4RbelQ|Girldrinkdrunk S.|4|215|107|86
w5bByMf6HnYbdrwS-LKR9g|Scott L.|1|12|7|4
w0GFupdjOgl_DlLBYzlfcw|Jason L.|1|16|0|5
-BgA1XTbaPXwf-u2wVldRg|L M.|4|25|4|9
go6R-CfDT3dU8UZQBpNpPQ|Eric L.|1|3|0|0
4-Ze6DhlFonIrAAXhWSAMQ|Julie B.|1|48|12|19
_bl5PELSGtYjrh0hi8X2ag|C P.|3|18|0|1
j61qfV4YyMIImIpL4GdIuw|ariela r.|1|58|14|18
Z1K_XUH1EsVxyDfhqRe8NA|Ed P.|2|10|0|7
0WI7bL6EMTc6W0lIYKuqiw|Aaron k.|2|2|0|1
VqSFTE5f-mDzoLeXS-16xw|Mckenzie G.|19|338|49|155
boSsem5VxkmlYZ6WVH3hcQ|Mark W.|2|3|0|2
4rk1vq6fFB3VzGNlirgvyg|Stephen D.|1|6|2|2
JJ1mrB7csvHgSd4bHEuE2g|Jack G.|1|18|6|4
J77q16gXjKOBiO7xl5s-_Q|Rafael L.|1|0|0|0
jT1japLeFEucHwEaEmFf5g|ronald s.|6|1294|375|539
pUrXypNPaj9WJn8rc6yGFQ|Sarah W.|3|20|2|10
rOb9U03uPUCqunjSUns30A|Jean N.|1|10|1|5
kfxH2YSLG7kCoG6HWoB-Cg|A C.|1|20|8|11
Lya_3K2rIwx5yHCovgvXjw|Mike G.|1|3|0|2
lP6X0JEsFT_I4lSTyi4HyA|Lizz W.|8|106|31|57
BuC9XytuFDp2HUYLGqBisw|Andrew G.|3|342|74|144
5laOS0tBZ3z0SUqVfNaXjQ|Sean D.|1|24|0|7
C5f-cZnw3CfoHI82gmgeQg|CC J.|1|2|0|0
GrgD4l6U8ril-XKK7u0QCQ|Emily G.|4|50|31|24
8Q4n3d3YIPRCUhrjKBl95w|Derek A.|2|218|34|65
CzfrFHwKt6_QuNjv39qbBQ|Jason S.|4|5|0|2
5hS9juuaN3kTV5f13nfFZQ|Melisa C.|4|379|108|194
wZvS3HrdcOrLFQFAHr72KQ|Abbie G.|2|0|0|0
vR1zYnEKaIhx5RiBFk_J0A|Kristyn F.|1|11|6|7
HXDD_esT35EPINWRe9Pz3Q|Andrew P.|1|2|0|0
Qx62d61PLWHkwDdTcj3RJg|Siv T.|1|35|13|17
oGV0BS7sCZ8-2iYNJixUYw|jessica s.|1|0|0|0
jJfQ-uQgscVaaECkwqMlWw|A L.|2|6|0|0
KPRr8Sn3yeej3hxmOwoZbQ|Beck N.|3|313|37|137
3BxfmOZFBc4gxX6YWjQasg|Bryant F.|2|3|7|0
DeFXo6qPDkeZgGZ5Knm4fw|andrew h.|2|287|51|158
J10glDXz7JOEE7wGA57dCA|Jaclyn P.|5|175|52|71
QbcI5G8Qj2X5jV-ncrHnww|Andria T.|10|61|30|31
e8ctA42_X95wLlrf09YZQg|Amy B.|14|832|545|436
BPhCgJHhw5omsMH2kLopJQ|Meg M.|5|40|16|16
CMdFQ0y0zvzBS2x6tjZcWA|Elizabeth S.|1|223|72|71
-9-JsNrNYIt5PzLLA4lnUQ|ellen m.|2|168|52|55
jsWbvQ4dIDUkZDbJw3b76Q|Heidee P.|1|1|2|1
ysHXGWxsvqW5qGvUukwJQg|Francesca D.|1|6|1|1
EXYUCdv1TFzrsL0o33kpUw|Hilary C.|1|45|13|36
8D9CrQaExNhVCAziVrvrLg|Laura C.|1|0|0|0
PVFekEJidqcH3V55HqhIBg|Stephanie C.|5|107|51|37
obZHKZd-tA9Z9vEHxmDkTA|James M.|1|6|2|2
W315rGdFMjwBr87lUPAZeg|Laura S.|2|0|0|1
IF9jWNtiHUd_UbOGfwHtYw|Aly K.|11|107|49|53
7x8B5lgzSZxmqMiQJzhx1A|Adrienne O.|8|506|242|241
Y7q1v8m_xuItNu3kZt-y9g|Cory F.|1|8|3|3
t4wSOrD3_BghYwXS2VLoaQ|Justin M.|1|6|1|2
fCzpX3cJ1w8lFX7Cahr9QQ|Suzanne M.|3|201|32|90
JDPPd7pd5BHa94WSSGOkiw|Kristin C.|1|13|0|1
E3xpr996watZyp6P0587Ow|Elizabeth G.|19|368|170|198
ArM8W9QGF_I7LvljPt-gwQ|Katherine T.|2|3|0|0
gwQx9aV-6lIIf7tvTOZjlw|Carlos V.|1|31|2|8
Z5q7dN--JkWnfGAHK07ILQ|Liz F.|1|3|0|1
p1Kp9G7Kcl0xGvVSaJLBxg|Allison M.|1|25|5|8
R5-rFJlOe9r1i4kdr-kS3A|Donisha L.|1|8|1|2
LpnIbrtaWQ5hSU3TorJf0A|Stephen C.|10|119|47|70
VEj1OuO6QrQMXFhuMZJ8cQ|Ettya F.|7|1340|1092|1130
_YCFnRUDjOCtp_HTbictZA|G N.|1|32|11|10
5fzGrTKCyXkD0VrMsSqA6w|Courtney S.|1|71|15|21
VFkzf-g8NqJj402sE433kA|Nicole B.|10|373|132|151
ToYIk6qmPMugiv6SMprZQA|Michele O.|1|2|1|1
czq90hs0xraxs0tq8oMc4w|Abdulmohsen A.|2|4|2|1
MuGxIIrcGJ7FnxU7kTPNBw|Holly B.|2|74|16|46
X4zIP-oyKx4aKfsiYXpVNQ|andrea s.|1|2|0|0
xwIm0Sjc7Ehb9zXcrLsKcw|Kameron S.|3|17|3|1
VKcO74BRptFHcr8N9V0Erw|Ryan W.|1|38|14|20
UXVGmqtdOBYTChb2u0eXbg|Andrew E.|1|28|10|3
ExJrg9VqvIRvnrcjwAUbpg|Juhi D.|4|44|17|10
D4un9kv2gb3jaPDS7NMELg|Amanda C.|11|325|116|172
wM3CIcnrbz4g10Dd-1Jzlw|Mark S.|8|208|98|87
BglwG4Vqk4dUcC8_Snb-Mg|Lyd M.|5|24|1|7
-aMRxjW5Q2K25O--pQ1Pkw|Lauren C.|1|1|1|2
BN1fakN3E_JUw12r-oWgeA|Kevin C.|2|11|4|2
_0cWueK8TnVQgzDAHYzmqA|Brian N.|2|245|78|85
_Zo0sIkSpWurzNjVnXiBOg|Kim P.|6|102|27|33
a9GyFHluLqSAxrUiy5bCSw|Jessica F.|1|113|37|43
O7q30MVJfD6_WtFPCGK_RQ|Grace R.|4|53|17|23
LmcYDVSrnwOtwbLvoCkVTA|Jacqueline B.|1|20|3|6
g1ocQDD0uOeWHaolG6YlFw|Michael S.|1|6|9|6
3yMXOQpWD2Gx1MN-og6jMQ|Penelope B.|1|0|0|0
mCmvPvj1_V8niKDLmElmqA|Sean K.|1|0|0|0
Lk2v1UguYZ9aPEUVDGMEzA|Kachiu L.|1|42|14|12
FrUFN-SmrfwB_C2sreAAMw|sara T.|1|16|3|3
oDFwy3xuUPukRP-PHWmIuQ|Juliza H.|1|7|1|1
cKE2WXfP3gJirhx2MPRCkA|Megan N.|3|79|59|41
bSrM-HMcBN2dsqyhOTEMdA|Aaron C.|1|17|3|3
Wbwv4at33RscYwinLrxA4A|Bailey M.|17|331|120|118
CV_I9BJEHnGtgJV1YOO8ug|Linda Z.|1|3|1|1
v-Dk-yi2bmP-xCS_5lIiHw|Tim K.|1|1|0|0
jWt-aVx61hLofq0AfsiCow|FourAM B.|1|0|2|0
TTJ6q55Q8a8QbNwtEoARXQ|Shannon S.|2|116|29|50
M5IltZ4viIJJ94jVmrADdg|Cory C.|2|35|28|18
g0cDgylKX4BR-qKl2NyBTA|C S.|1|0|0|0
LwjCmgJoVhji2krgMSfG3g|Micah D.|1|4|0|1
FYck3w3oayuadxxJ1ul6BA|Wendy S.|1|3|2|3
t2TiQFs2B6sSP2MUyqbU_g|AJ S.|1|1|1|0
1nlvdyKsu_nKF4oAF3sFJQ|Pam Z.|3|40|42|26
Xi_nxf_3Givn_pB8cuaq5A|Jess E.|1|0|0|0
cqIYskWPVQ0rz1XSG0ohxg|Justin K.|1|1|0|0
My01zS5Nhk5WpsLzCZQnWw|Craig D.|1|8|2|3
QEyjGVE9MSLvk-BS0Z3O2Q|Melissa G.|1|108|75|62
2dlbgjG-RAkW5IrKP-qJ7w|hopkinton g.|1|13|4|5
cHLEv4ADdvAv7u9h7B3WFA|Irene Y.|4|36|3|12
a6lxjON-VzOiI9tFZtPhmA|Susan L.|2|110|29|33
Gmb8Se-rSitA2nKG0jsUcw|Arley Rose T.|1|56|10|7
pCGhLbFA8Q2N_LypEOdHcw|Herbert S.|12|354|217|223
0jTtVmRjyeHRqXGPvTF_cw|Jen C.|3|14|6|8
SNNqHITC-UJCC-ouNLfxpA|Jeff G.|13|84|35|41
Tc8lhTent3_QRC2chf_JVA|Crystal S.|1|0|0|0
g3n_4X2B9hF4Sqe0Hbx2HA|Gloria C.|3|590|207|333
C8iluzW2_eWezIUj1wf99A|Ethan M.|1|6|1|3
Sq7mHMC2c5FL2jY1ttAbnA|Randall R.|1|9|1|1
O9oRSlng92w43FDHrbI_YA|Dan M.|3|143|31|120
R-W_OXrdMnyF5Obn2osUlg|Ernest L.|2|148|138|104
B6yoK_a8F_niwxPhx9VjBw|Stephanie M.|1|2|0|0
w40q8Q-JsN_s_Rap5dcZLg|Todd F.|1|2|0|2
1k6dVLySyEQP-YTNkja7qw|Merri L.|6|811|285|598
Sn3eL3QR8Hf4yDJIuuyNQQ|Sarah T.|2|16|4|4
xfsDlngoluTTbG95_FbQhQ|Katherine C.|1|0|0|0
TyNxux79CdLVNzWTPNQOCg|Katrina F.|1|1|0|0
bRa5YawpNlrClzbwGy1hCw|Jack N.|3|1338|936|1175
ReSxBu5ov_boC_uekj-gJw|Angela N.|2|658|448|616
im1wz9pO7eFNcWrrtfIMpA|Wow K.|2|0|0|0
sxk9LeKz2sko4LMtVVN-Bw|Zach H.|1|0|1|0
pKwtwW8r38o1lcvd4urVsQ|Simon K.|1|14|0|1
77eVe7AVDUp4s-fPFlGg8Q|Derek T.|3|19|4|6
MnUWnlzL9kFXPBMebQNZ7Q|Moni C.|1|7|3|1
mB2ApU52yakm4ckZTNu2Yw|Melissa W.|1|24|3|7
