Name|Price|Genres|Rating|Review Count|Address
The Congress Tavern|2|Gastropubs|3.7|10|62 Orange St
Tokyo Restaurant|2|Sushi Bars /// Japanese|2.75|12|388 Wickenden St
New Japan|N/A|N/A|3.0|2|145 Washington St
Taste of India|2|Indian /// Pakistani|2.78|9|230 Wickenden St
Kabob and Curry|2|Indian|3.97|38|261 Thayer St
Metro Cafe|1|Cafes|5.0|1|101 Dyer St
Shark Bar & Grille|2|Asian Fusion /// Sushi Bars /// Seafood|2.5|18|275 Thayer St
Coffee King|1|Coffee & Tea /// Fast Food /// Sandwiches|5.0|1|66 Fountain St
Stanley’s Hamburgers|1|Diners|2.75|4|371 Richmond St
Johnny Rockets|1|Burgers /// American (Traditional) /// Sandwiches|3.1|10|269 Thayer Street
Dairy Queen|1|Ice Cream & Frozen Yogurt /// Fast Food|3.0|2|Providence Place Mall
Spike’s Junkyard Dogs|N/A|N/A|2.0|2|85 Richmond St
Uno Pizzeria & Grill|2|Pizza /// Gluten-Free /// American (Traditional)|3.5|8|82 Providence Place
Round the Corner|1|Pubs /// Dive Bars|4.0|12|12 Governor St
P.F. Chang’s|2|Asian Fusion /// Chinese /// Gluten-Free|3.16|19|111 Providence Place
Tortilla Flats|2|Mexican /// Cajun/Creole /// Tex-Mex|2.87|39|355 Hope St
Barnsider’s Mile & A Quarter|N/A|N/A|4.5|2|375 S Main St
Urban Dog|1|Food Stands /// Hot Dogs|5.0|1|244 Thayer Street
Lola’s Tequila Bar & Cantina|2|Cocktail Bars /// Mexican|2.85|20|25 Bridge St
McFadden’s|2|Bar /// Traditional American|2.18|11|52 Pine St
Paragon VIva|2|Dance Clubs /// American (Traditional)|3.76|29|234 Thayer St
Antonio’s Pizza|1|Pizza|3.79|24|258 Thayer St
South Street Cafe|2|Dive Bar /// Traditional American /// Chicken Wings|3.8|5|54 South St
Everyman|2|American (Traditional)|2.8|5|311 Iron Horse Wy
Xtreme Pizza & Wings|2|Pizza /// Chicken Wings|2.0|1|272 Thayer St
Restaurant Prov|N/A|N/A|2.5|4|99 Chestnut St
